id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,评论人ID,评论人昵称,评论时间,评论内容,点赞次数
5143892618382605,PipQxzaHj,7200669282,努力的西海,#中国台湾省#【转发支持！#台湾是全体中国人的台湾#🇨🇳】#国台办训斥赖清德分裂谬论#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！（央视）,,,,"中国台湾省,台湾是全体中国人的台湾,国台办训斥赖清德分裂谬论",0,1,3,2025-03-14 00:24,华为 Mate X5 典藏版,https://wx1.sinaimg.cn/large/007Rjh18gy1hzft0ptheoj30j60yt7gc.jpg,,,浙江,金V,5290479563,夜行捕鱼人3,Fri Mar 14 00:38:01 +0800 2025,"<span class=""url-icon""><img alt=[喵喵] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[喵喵] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[喵喵] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png"" style=""width:1em; height:1em;"" /></span>",1
5143891331518848,PipOt6n7y,2583001030,华俊竹de微博,祖国必然统一！！！中国台湾省！！！睡不着了！自从大陆明确台湾是中国的一个省，多少元老直接哭了。台湾省那边国民党、民进党都坐不住了，尤其是国民党，折腾了半天，结果最后自己什么都没拿到，不难受就奇怪了！以前他们还自以为挺牛，觉得自己能跟大陆平起平坐，结果现在大陆直接明说了——台湾就是一个省，吃饭都得去小孩那桌。台湾的国民党人大多不承认、但又不得不正视这一点，因为他们骨子里就是“暗独反统”的货色。国民党自己都这样，更别提民进党了。所以，对他们这些人的幻想，早该破灭了。#台湾是全体中国人的台湾##正告赖清德当局玩火者必自焚##如台独突破红线我们将采取断然措施#,,,,"台湾是全体中国人的台湾,正告赖清德当局玩火者必自焚,如台独突破红线我们将采取断然措施",0,2,8,2025-03-14 00:18,官方管理员iPhone客户端,,"http://f.video.weibocdn.com/u0/BRk7nsYRgx08mEuBQ4ow01041200nybw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741888419&ssig=QMuOhlBONg&KID=unistore,video",,广东,金V,5878659096,超话社区,Fri Mar 14 00:20:55 +0800 2025,"亲爱的<a href='/n/华俊竹de微博'>@华俊竹de微博</a>，你发布的博文很受超话用户欢迎<span class=""url-icon""><img alt=[给你小心心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-c76bf85343.png"" style=""width:1em; height:1em;"" /></span>！快来<a  href=""https://m.weibo.cn/p/index?extparam=%E5%8F%B0%E6%B9%BE%E7%9C%81&containerid=100808d4c60b6b8a23155e2ab6ccae67025572"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">台湾省</span></a>一起畅聊吧<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",0
5143891331518848,PipOt6n7y,2583001030,华俊竹de微博,祖国必然统一！！！中国台湾省！！！睡不着了！自从大陆明确台湾是中国的一个省，多少元老直接哭了。台湾省那边国民党、民进党都坐不住了，尤其是国民党，折腾了半天，结果最后自己什么都没拿到，不难受就奇怪了！以前他们还自以为挺牛，觉得自己能跟大陆平起平坐，结果现在大陆直接明说了——台湾就是一个省，吃饭都得去小孩那桌。台湾的国民党人大多不承认、但又不得不正视这一点，因为他们骨子里就是“暗独反统”的货色。国民党自己都这样，更别提民进党了。所以，对他们这些人的幻想，早该破灭了。#台湾是全体中国人的台湾##正告赖清德当局玩火者必自焚##如台独突破红线我们将采取断然措施#,,,,"台湾是全体中国人的台湾,正告赖清德当局玩火者必自焚,如台独突破红线我们将采取断然措施",0,2,8,2025-03-14 00:18,官方管理员iPhone客户端,,"http://f.video.weibocdn.com/u0/BRk7nsYRgx08mEuBQ4ow01041200nybw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741888419&ssig=QMuOhlBONg&KID=unistore,video",,广东,金V,7492994148,PO2-J,Fri Mar 14 00:51:06 +0800 2025,"我们是生活在岛内的中国福建人，对于今中国宝岛已被祖国大陆定调为“中国台湾省”感到非常开心、愉快，非常舒适<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞啊] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_zana-dd20c7bed2.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞啊] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_zana-dd20c7bed2.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞啊] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_zana-dd20c7bed2.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞啊] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_zana-dd20c7bed2.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/f_geili-78be8d9152.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/f_geili-78be8d9152.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/f_geili-78be8d9152.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/f_geili-78be8d9152.png"" style=""width:1em; height:1em;"" /></span>",1
5143886470317395,PipGD1kzh,1859661774,金华磊哥,#台湾是全体中国人的台湾#台湾从来不是一个国家，过去不是，今后更绝无可能。,,,,台湾是全体中国人的台湾,0,1,1,2025-03-13 23:59,所愿皆成真,"https://wx2.sinaimg.cn/large/6ed82fcegy1hzfsb1bd26j20j612s0yw.jpg,https://wx1.sinaimg.cn/large/6ed82fcegy1hzfsb1s17xj20j613ogrt.jpg,https://wx4.sinaimg.cn/large/6ed82fcegy1hzfsb2yzovj20j613u7at.jpg,https://wx2.sinaimg.cn/large/6ed82fcegy1hzfsb3iaoyj20j613hag7.jpg,https://wx3.sinaimg.cn/large/6ed82fcegy1hzfsb4hkicj20j612vwki.jpg,https://wx1.sinaimg.cn/large/6ed82fcegy1hzfsb4v2t3j20j61307ah.jpg,https://wx1.sinaimg.cn/large/6ed82fcegy1hzfsb5zor4j20j6133dlv.jpg,https://wx2.sinaimg.cn/large/6ed82fcegy1hzfsb0z66uj20j613f44t.jpg,https://wx4.sinaimg.cn/large/6ed82fcegy1hzfsb6e2ecj20j612rdlt.jpg",,,浙江,金V,5878659096,超话社区,Fri Mar 14 00:00:46 +0800 2025,"亲爱的<a href='/n/金华磊哥'>@金华磊哥</a>，你发布的博文很受超话用户欢迎<span class=""url-icon""><img alt=[给你小心心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-c76bf85343.png"" style=""width:1em; height:1em;"" /></span>！快来<a  href=""https://m.weibo.cn/p/index?extparam=%E5%8F%B0%E6%B9%BE%E7%9C%81&containerid=100808d4c60b6b8a23155e2ab6ccae67025572"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">台湾省</span></a>一起畅聊吧<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",0
5143881525498301,PipyEn4mh,2541592687,新疆发布,#祖国必然统一#【转发支持！#台湾是全体中国人的台湾#🇨🇳】#国台办训斥赖清德分裂谬论#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！,,,,"祖国必然统一,台湾是全体中国人的台湾,国台办训斥赖清德分裂谬论",1,1,4,2025-03-13 23:39,微博网页版,https://wx3.sinaimg.cn/large/002M0gmrly1hzfrqpxog4j60j60yt4nc02.jpg,,,,蓝V,6457840984,鱼儿在水里7秒记忆,Thu Mar 13 23:40:49 +0800 2025,祖国必然统一🇨🇳,0
5143870526983983,PipgUtiQT,6365990425,大河财立方,【转发支持！#台湾是全体中国人的台湾#🇨🇳】#国台办训斥赖清德分裂谬论#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！#中国台湾省#（央视新闻）,,,,"台湾是全体中国人的台湾,国台办训斥赖清德分裂谬论,中国台湾省",3,4,5,2025-03-13 22:56,微博网页版,https://wx2.sinaimg.cn/large/006WP2UVly1hzfqhd4jd9j30j60yt4nc.jpg,,,,普通用户,7496799694,脸社区,Thu Mar 13 22:57:13 +0800 2025,转发微博,0
5143870526983983,PipgUtiQT,6365990425,大河财立方,【转发支持！#台湾是全体中国人的台湾#🇨🇳】#国台办训斥赖清德分裂谬论#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！#中国台湾省#（央视新闻）,,,,"台湾是全体中国人的台湾,国台办训斥赖清德分裂谬论,中国台湾省",3,4,5,2025-03-13 22:56,微博网页版,https://wx2.sinaimg.cn/large/006WP2UVly1hzfqhd4jd9j30j60yt4nc.jpg,,,,普通用户,6443571309,用户6443571309,Fri Mar 14 00:19:36 +0800 2025,"<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",0
5143869894431926,PipfTiAWG,1847123567,香港商報,【#国台办训斥赖清德分裂谬论##台湾是全体中国人的台湾#】国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！#中国台湾省#（jl，图源央视新闻）O國台辦訓斥賴清德分裂謬論：台灣是全體中國人的台灣,,,,"国台办训斥赖清德分裂谬论,台湾是全体中国人的台湾,中国台湾省",4,3,8,2025-03-13 22:53,微博网页版,https://wx1.sinaimg.cn/large/6e18de6fgy1hzfqefpp33j20j60ytao0.jpg,,,,蓝V,3761691972,宁夏张聪,Thu Mar 13 22:56:07 +0800 2025,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8F%B0%E6%B9%BE%E6%98%AF%E5%85%A8%E4%BD%93%E4%B8%AD%E5%9B%BD%E4%BA%BA%E7%9A%84%E5%8F%B0%E6%B9%BE%23&extparam=%23%E5%8F%B0%E6%B9%BE%E6%98%AF%E5%85%A8%E4%BD%93%E4%B8%AD%E5%9B%BD%E4%BA%BA%E7%9A%84%E5%8F%B0%E6%B9%BE%23"" data-hide=""""><span class=""surl-text"">#台湾是全体中国人的台湾#</span></a>",0
5143869894431926,PipfTiAWG,1847123567,香港商報,【#国台办训斥赖清德分裂谬论##台湾是全体中国人的台湾#】国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！#中国台湾省#（jl，图源央视新闻）O國台辦訓斥賴清德分裂謬論：台灣是全體中國人的台灣,,,,"国台办训斥赖清德分裂谬论,台湾是全体中国人的台湾,中国台湾省",4,3,8,2025-03-13 22:53,微博网页版,https://wx1.sinaimg.cn/large/6e18de6fgy1hzfqefpp33j20j60ytao0.jpg,,,,蓝V,5517949070,张渔的火车,Thu Mar 13 23:20:06 +0800 2025,"解放台湾省，救出柯文哲…接来大陆开诊所<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>",0
5143868459192132,PipdzCzic,1749990115,北京青年报,#国台办训斥赖清德分裂谬论#【转发支持！#台湾是全体中国人的台湾#】#中国台湾省#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！,,,,"国台办训斥赖清德分裂谬论,台湾是全体中国人的台湾,中国台湾省",4,2,5,2025-03-13 22:47,,https://wx2.sinaimg.cn/large/001UqMn1ly1hzfq8o9lwwj60j60ytwnb02.jpg,,,,普通用户,2859955144,Lovestrucksy,Thu Mar 13 22:48:03 +0800 2025,支持,1
5143868459192132,PipdzCzic,1749990115,北京青年报,#国台办训斥赖清德分裂谬论#【转发支持！#台湾是全体中国人的台湾#】#中国台湾省#国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！,,,,"国台办训斥赖清德分裂谬论,台湾是全体中国人的台湾,中国台湾省",4,2,5,2025-03-13 22:47,,https://wx2.sinaimg.cn/large/001UqMn1ly1hzfq8o9lwwj60j60ytwnb02.jpg,,,,普通用户,7013661728,足球快乐快乐就好,Thu Mar 13 23:00:11 +0800 2025,明早八点，C!,0
5143868316320332,PipdlqwcQ,1699540307,中国之声,#国台办训斥赖清德分裂谬论#【转发支持！#台湾是全体中国人的台湾#🇨🇳】国务院台办发言人陈斌华13日表示，赖清德今天召开所谓“国安高层会议”并在会后讲话中，再度宣扬两岸“互不隶属”的分裂谬论，妄称“台湾是一个主权独立的民主国家”，极力渲染“大陆威胁”，将大陆界定为“境外敌对势力”，并抛出所谓“因应五方面威胁”的“17项策略”，“台独”立场之顽固、挑衅对抗之猖狂，再度证明其人是不折不扣的“两岸和平破坏者”“台海危机制造者”。赖清德一方面“卖台求荣”，另一方面倒行逆施，在岛内变本加厉制造“绿色恐怖”，打压岛内政治异己，煽动“反中抗中”，升高两岸对立对抗，限阻两岸交流交往，强推两岸“脱钩断链”，服务其“台独”分裂目的，转移岛内矛盾焦点，缓解施政困境。这充分暴露其为一党一己之私，不惜“恶化”岛内社会，把台湾老百姓绑上“台独”战车，把台湾推向兵凶战危险境的邪恶本质。台湾是中国神圣领土不可分割的一部分，从来不是、也永远不会是一个国家。台湾是全体中国人民的台湾，这是不容置疑的历史和法理事实，也是不容改变的两岸现状。我们解决台湾问题、完成国家统一的意志坚如磐石，能力坚不可摧，决不允许任何人任何势力把台湾从中国分裂出去，也绝不为任何形式的“台独”分裂活动留下任何空间。如果“台独”分裂势力胆敢突破红线，我们将不得不采取断然措施。正告赖清德当局，玩火者必自焚。凡是数典忘祖的人，从来没有好下场；凡是背叛祖国的人，必将遭到人民的唾弃和历史的审判；凡是搞“台独”分裂的人，结果只能是粉身碎骨；凡是倒行逆施，冒天下之大不韪的行径，都将自取灭亡。祖国必然统一大势滚滚向前，任何人任何势力都无法阻挡，所有居心叵测的伎俩都注定失败！#中国台湾省#（总台央视记者赵超逸）,,,,"国台办训斥赖清德分裂谬论,台湾是全体中国人的台湾,中国台湾省",2,3,5,2025-03-13 22:47,微博网页版,https://wx1.sinaimg.cn/large/001R164rly1hzfq87enbej60j60yt7i802.jpg,,,,普通用户,3344622184,胖胖lin11,Thu Mar 13 22:48:17 +0800 2025,中国台湾省🇨🇳,1
